"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"1",2010,"Alabama",-3.9582524252577,0.754349743060055,15.9613962032695,1.82261947836834,1.91023352465998,445.073335650651
"2",2011,"Alabama",-3.63287319336409,-0.121476078129489,26.5040410020678,2.28429718790184,2.52275627510915,690.891818055582
"3",2012,"Alabama",-5.03991141501503,0.836263072919806,23.8552651311951,3.10151572466918,2.23105784603093,135.359092388082
"4",2013,"Alabama",-4.75359239001683,0.725419387633751,19.9914919924148,1.83509289694924,2.14136302639297,826.008114937894
"5",2014,"Alabama",-4.39813190269114,0.861370210959856,21.1194786698378,1.69350916699521,2.25084194257991,264.01721182766
"6",2015,"Alabama",-4.88489826332031,0.611355327211109,34.4647932531172,2.98939773470672,2.06881356229199,1113.17694605327
"7",2016,"Alabama",-4.64829638998374,0.707343371546715,29.9590696792224,2.61731845205783,1.9136934250953,1169.32308419336
"8",2017,"Alabama",-4.42599518734056,0.914407715466509,25.0595087724854,1.90646118783582,1.49478852450366,764.383254034821
"9",2018,"Alabama",-4.59123024757838,0.658904877732607,28.2001901450226,2.43743772294678,1.86015530093294,913.184042690603
"10",2019,"Alabama",-4.54915063597169,0.770136094796483,28.5464828646973,2.58395257626959,1.74309481498275,839.452998185508
"11",2020,"Alabama",-5.45417003745691,0.111412022780519,18.8873264114599,3.01428105587463,22.0639345138788,3104.74681398943
"12",2021,"Alabama",-4.11624313885231,0.0861845672904736,23.4148599854492,1.55666175364602,0.633909617592151,2221.33571308556
"13",2022,"Alabama",-3.95621163694397,0.519992597715952,12.3276977010923,0.630647481039775,1.8590850535648,1428.03940370457
"14",2010,"Alaska",-5.0462496402667,0.609822175311965,22.2737611847668,1.69203360056272,1.48685515138393,893.620504866354
"15",2011,"Alaska",-5.49195839473095,0.0890340158202973,41.1645614477001,3.41951000716741,0.0768068202943317,558.535600095787
"16",2012,"Alaska",-8.44353047811495,1.53757204284532,20.8804078462543,2.82738880907434,2.95091144835311,445.242260667112
"17",2013,"Alaska",-8.1157921329915,1.42524618164496,25.2343544819425,3.14902472903129,2.87399190364169,193.937593750405
"18",2014,"Alaska",-6.14270921321869,1.04649132964725,14.4890034894571,1.15547633553463,2.43414729065544,91.851564775396
"19",2015,"Alaska",-4.9964408868595,0.697071002771402,33.9181285806294,1.23841577900591,1.62639902066383,480.255354393677
"20",2016,"Alaska",-7.69659844623241,1.43122285296302,36.1898943516669,3.52320295837185,2.1774295995642,281.022782663734
"21",2017,"Alaska",-4.57865265837402,0.666107507292149,31.9160011254426,2.78560896149646,2.08557132263924,803.903313925267
"22",2018,"Alaska",-3.81171907928956,0.460290685879261,28.0300532916318,1.18869117415331,1.11514131796511,357.886247148659
"23",2019,"Alaska",-4.80053418451158,0.655499499890995,28.3215627442423,2.74688290069606,1.75992741303146,205.274018743882
"24",2020,"Alaska",-6.14765259197029,0.210571505101271,6.33221877636158,1.26179290989013,23.776530213356,784.09543630509
"25",2021,"Alaska",-4.92909818373255,0.395078998364525,20.7349411290023,1.82353882727121,2.32907508094903,122.756554528668
"26",2022,"Alaska",-4.2470641859449,0.0763192490013592,17.707932815817,1.39538990513862,0.914916370642678,852.878178440501
"27",2010,"Arizona",-5.46283044430775,0.546062934718429,18.0811017650074,2.43002354878072,2.07699984917773,3179.10101486393
"28",2011,"Arizona",-5.45543594892764,0.322237325114414,31.4638007310906,2.7240239168275,2.35780698174375,3101.20377224885
"29",2012,"Arizona",-4.76320570350431,0.452908300398028,25.0808970805285,1.63542894781219,1.57454503024493,1632.44284315357
"30",2013,"Arizona",-4.87556692568473,0.161715955337175,24.8849353455883,1.92411398506881,2.41484431477197,2328.71565359636
"31",2014,"Arizona",-4.71360035941514,0.275898683284906,24.7396565035008,1.51427371515766,1.91160096559358,3186.77196071856
"32",2015,"Arizona",-4.94617828293603,0.606862755272157,30.0184247577878,2.51658973474167,2.26189901979926,2172.32722051376
"33",2016,"Arizona",-5.79056639318832,0.767775767200191,27.5801196475426,2.71978975408245,3.1442217715832,3047.53972201929
"34",2017,"Arizona",-4.02359054404944,0.281492799901517,20.8910388875193,1.08520503609873,2.45525279336436,1360.63969650028
"35",2018,"Arizona",-5.58969109774928,0.865582247726879,33.0605802214378,3.42715175285554,2.44438025174455,1648.25040231646
"36",2019,"Arizona",-4.27412898477489,0.192720942827398,24.3718751401973,1.97220275352323,2.11525949074182,1005.05964422529
"37",2020,"Arizona",-5.22875418567736,-0.0893860571449068,15.3137950320611,1.54244202943324,3.25425204810719,1172.12098104797
"38",2021,"Arizona",-4.331327374616,-0.20548176924567,24.5476704363178,2.61421505872159,0.868854414627281,1815.82496567617
"39",2022,"Arizona",-4.43203375578893,0.458430458089059,16.1741321016887,0.948897419060424,1.67932071862772,1468.4006119311
"40",2010,"Arkansas",-6.21557571271299,1.28636524150793,19.1146196440719,2.33176057760287,1.99057669333127,281.080373416886
"41",2011,"Arkansas",-7.75903319395836,1.43753443082875,31.949394077348,3.4321730409164,2.08625213851336,358.510815547781
"42",2012,"Arkansas",-8.07364236932508,1.64063947428665,22.1749119305869,2.08560368618485,2.51925391481912,352.412915071151
"43",2013,"Arkansas",-6.22494474996805,1.25317793740581,22.8630645268763,2.15988504108905,2.43585946851329,201.917142665026
"44",2014,"Arkansas",-6.29732510030952,1.32400598667332,23.4493139854078,2.1632722561917,2.52997824826062,348.894086939152
"45",2015,"Arkansas",-6.87451886246248,1.29257612172202,40.2926293934492,3.24060030736012,0.496224570580113,450.745260827585
"46",2016,"Arkansas",-5.67926355427806,1.05610380336983,28.2536084624456,2.30434009117852,2.2629520051328,260.202123476627
"47",2017,"Arkansas",-5.02041190749726,1.06607428899707,23.477173086235,1.81871798020402,2.0330010496602,242.461088982549
"48",2018,"Arkansas",-4.72208174357227,0.732464529740429,30.0216550796204,2.34814069601541,1.60977893246654,488.221862601139
"49",2019,"Arkansas",-4.81093759977954,0.854325008278393,29.3661295112599,2.5606864503066,1.16419722579303,531.406306792549
"50",2020,"Arkansas",-5.5311137644457,0.0880995815950476,9.39103290361171,2.4171376445453,23.9651801574883,1118.68683474516
"51",2021,"Arkansas",-4.2891494699617,-0.229172199552918,18.4288465236528,1.05745703497942,2.3943720189115,1028.55741210335
"52",2022,"Arkansas",-4.3454541122675,0.563435793227423,15.3336299547652,1.28749404716139,1.89681980768835,2082.07386767753
"53",2010,"California",-4.29414545194076,0.253403379663056,19.0312598914521,2.44012499896177,2.23577472299394,1496.0382420082
"54",2011,"California",-4.28741160308686,-0.0293652350754985,25.3710976462819,2.39526783309178,2.65656309856831,2124.73034621727
"55",2012,"California",-4.1558412004155,0.176100702675149,27.643790630017,2.37322995419061,1.66446570425295,1484.19301234041
"56",2013,"California",-4.086579340051,0.100958887185536,23.2627427228458,1.46667561728761,1.82739429397024,3122.44303825004
"57",2014,"California",-4.22357895254633,0.107626677600333,24.441850179994,1.97291127053735,2.33230656201856,2016.07741450591
"58",2015,"California",-4.51946484721627,0.200801071429178,30.2637016419506,2.45850043270444,1.88526114138352,3507.27121375603
"59",2016,"California",-4.40842860312746,-0.0630047637016777,23.0960901845318,1.93466952975964,2.232746894107,3941.14478711444
"60",2017,"California",-4.31700113884429,0.3273745647319,21.6839493351104,1.33832588387429,2.3171843714012,1383.06375694032
"61",2018,"California",-4.67710214070686,0.320884600618537,27.6534883178021,2.5056587322395,2.3478336832322,4832.42501596134
"62",2019,"California",-4.53662978611132,0.488288567944387,28.6268339494353,2.38529949072965,1.75170543950536,1657.2462624258
"63",2020,"California",-5.47047845121909,0.0977888358004154,18.4946423023929,2.88992726938573,4.99314996234728,911.77942560568
"64",2021,"California",-4.6492150884991,0.115581974301621,-126.486652777288,20.1379091091694,5.10392833735474,496.877728582326
"65",2022,"California",-3.87996358836728,0.218474707273497,15.0895400134706,0.999599336112742,2.47778892772966,776.545069506536
"66",2010,"Colorado",-5.14797729685748,0.480186090064327,20.7135996108783,1.5788361156644,1.40500898966553,2084.99325424347
"67",2011,"Colorado",-5.47820479893296,0.0355181689273149,32.2497180957231,2.58911859326434,1.39694938667028,4056.10180604178
"68",2012,"Colorado",-5.37298852044302,0.71868001447515,23.7251221832109,1.66893489523407,1.74183200915827,4918.27876130859
"69",2013,"Colorado",-5.69839920912121,0.665303135443363,22.1666684109919,1.77737470346743,2.15966287166202,518.899827045221
"70",2014,"Colorado",-5.47497711069534,0.78665534154949,21.6576684728507,0.75886560956629,2.13043416708601,1947.98368265711
"71",2015,"Colorado",-5.5759317216846,0.386085832138597,33.6055321147591,2.40174591613727,1.7052205275992,3647.31982146952
"72",2016,"Colorado",-5.96020397888422,0.703783874921668,34.4101279532051,3.28097465795719,1.67053188565832,354.772517126885
"73",2017,"Colorado",-5.73511107956762,0.830467189315651,26.506792099982,2.35734253041422,1.8979708494904,2244.89781782933
"74",2018,"Colorado",-6.76328263320525,1.39189413731546,23.0649678260746,2.58189293261462,3.21478574114079,708.406290812925
"75",2019,"Colorado",-5.29738551790894,1.00602776273203,31.5251436354909,3.05400646788768,1.47120274693385,1220.4294151853
"76",2020,"Colorado",-5.74417396918827,0.0751281600227213,10.3582678077604,1.86697357118839,22.3407620882359,2023.51819697514
"77",2021,"Colorado",-4.53212795571403,0.0511974325091019,43.1829500278853,3.56466963931611,0.906106240123728,508.88743149604
"78",2022,"Colorado",-3.7715130306976,0.452011181466818,16.5153418991823,1.10508466545077,1.65207641778692,662.589718116857
"79",2010,"Connecticut",-10.2140340281452,1.79436267195539,20.0238979154457,3.00357952383859,2.3447757795945,1840.07061491896
"80",2011,"Connecticut",-7.5303697907799,0.864422485735409,18.3761956297267,-0.0942928899209899,3.95149748787333,609.611229907179
"81",2012,"Connecticut",-9.60149757988256,1.78780491714246,26.5713975619421,3.11291649991926,2.61688558568289,368.771157602897
"82",2013,"Connecticut",-7.5608126367846,1.44622259441947,40.6880224971069,3.32655897081656,-0.678005503236162,188.845394648947
"83",2014,"Connecticut",-9.51105217069632,1.84213703588271,25.9598405442233,2.93318145874596,3.25770838951802,257.21236894093
"84",2015,"Connecticut",-8.86356733133834,1.72189093942276,28.0480131579339,2.88809283904977,3.07674351798857,820.486830900718
"85",2016,"Connecticut",-9.75747609906099,1.88389702258518,30.656153340639,3.34965267100102,2.59275513138868,618.047532344815
"86",2017,"Connecticut",-9.7079612996184,1.93894307140579,25.0139695447785,2.77856279600958,3.2040374029778,272.667240635881
"87",2018,"Connecticut",-9.39721695606826,1.86968413281955,33.3483349566743,3.63809241650092,2.09471785190929,395.747551488188
"88",2019,"Connecticut",-6.17812241448774,1.32471142134755,29.6873853823301,2.76176468589366,2.35518364345356,294.170853822743
"89",2020,"Connecticut",-4.96730282354211,-0.29231612195854,17.1122820529084,1.84330698818037,1.43109987775254,3145.71822299708
"90",2021,"Connecticut",-5.12465274874168,0.114665359907707,16.2498690535768,2.74703073386793,3.93006785827678,485.30400597289
"91",2022,"Connecticut",-4.18215937942474,0.505272998714123,17.6515637095674,1.51145500308586,1.41699239156446,2216.02750765993
"92",2010,"Delaware",-8.75265271325546,1.59804625793113,21.15886033121,2.71548373364651,1.84323009796544,706.37175540722
"93",2011,"Delaware",-10.7122095875394,1.68548289040814,20.6010213731342,2.48824448494621,3.03164189990081,579.186451683059
"94",2012,"Delaware",-8.43920110556713,1.68817636549126,23.5036211595076,2.20216011907671,2.21078902680178,409.657929546538
"95",2013,"Delaware",-8.93187512797579,1.70727970609306,25.1012578109462,2.56623563789698,2.48526034747589,235.734011189777
"96",2014,"Delaware",-8.62747606499633,1.61764598736436,24.5597629940873,1.74975406629287,2.12987211249339,784.466139702581
"97",2015,"Delaware",-7.71779476568656,1.12187405164237,35.6726698830215,2.40561582648536,1.47802544081351,346.165989602133
"98",2016,"Delaware",-8.12462063685079,1.20117650478888,31.9527126788667,2.66143931095365,1.63759132279141,525.054331554568
"99",2017,"Delaware",-7.35744143306201,1.41478765412552,27.4525696121627,1.76694500665452,1.84035553046456,411.462525811108
"100",2018,"Delaware",-9.95013982373866,1.77123458708142,28.5076224628856,2.72742210978458,2.27298435104421,882.719766652549
