"model","season","last_week","rep","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover95"
"asg_disc2_full",2010,14,1,0,0.353825160648878,0.39755756589498,1.45041580256018,1.40017408640274,0.603145214388008,19.1337173855584,0.00882,FALSE,FALSE
"asg_disc2_full",2010,14,1,1,0.180506484394079,0.201766767478362,1.33502875182405,0.860068408594174,0.266465334524514,7.30831655722563,0.00872,FALSE,FALSE
"asg_disc2_full",2010,14,1,2,0.120729800009493,0.137317114982313,0.182775074120933,-0.284786085824981,0.198733146406228,5.57953911908473,0.04134,FALSE,TRUE
"asg_disc2_full",2010,14,1,3,0.453966985827603,0.468318129171799,200.929968335636,35.2146742821622,0.510820625827603,11.308926809631,1,FALSE,FALSE
"asg_disc2_full",2010,20,1,0,0.228086771369001,0.259635548463305,1.13449769961292,0.983284818198921,0.362895486630896,10.567080400864,0.96992,FALSE,TRUE
"asg_disc2_full",2010,20,1,1,0.44152172489163,0.480784380135896,3.35061782000117,3.14051994769931,0.593789999587282,20.9875335863803,0.99696,FALSE,FALSE
"asg_disc2_full",2010,20,1,2,0.430646690226452,0.470579132502871,3.04320017156162,2.95601725917805,0.584487125900365,21.1252100621424,0.99614,FALSE,FALSE
"asg_disc2_full",2010,20,1,3,0.132972741968374,0.150408994582849,0.12520719071737,0.0486703170469771,0.24493075998484,7.92212152348207,0.88216,FALSE,TRUE
"asg_disc2_full",2010,26,1,0,0.37974730045721,0.407731428861782,3.92077438067129,3.48423668096605,0.491987107022428,22.8344644035498,0.99906,FALSE,FALSE
"asg_disc2_full",2010,26,1,1,0.572048940574681,0.599558831337346,6.66522501194616,6.74224993869725,0.682136168618159,33.993195852418,0.99996,FALSE,FALSE
"asg_disc2_full",2010,26,1,2,0.632139511558745,0.657957395296101,19.9123998087855,11.0315693670353,0.735549630971789,33.3724207297008,1,FALSE,FALSE
"asg_disc2_full",2010,26,1,3,0.999976963222841,1.02105870865968,516.542278328521,38.3387601640587,1.08384029196197,44.8640381569287,1,FALSE,FALSE
"asg_disc2_full",2010,32,1,0,0.437684344885462,0.445502788513049,Inf,35.8632265409425,0.469463718711549,13.826250100714,1,FALSE,FALSE
"asg_disc2_full",2010,32,1,1,0.180300564568953,0.188902585671239,6.52149971865062,3.60515722824975,0.215026769829822,6.19415692800021,1,FALSE,FALSE
"asg_disc2_full",2010,32,1,2,0.0113393210236674,0.0124559690598332,-2.10859493582076,-3.30488978559576,0.0132279665088699,0.367479145759738,0.38832,TRUE,TRUE
"asg_disc2_full",2010,32,1,3,0.923092216700355,0.935486308709735,Inf,38.0013927072731,0.973782322591659,42.7126125381828,0,FALSE,FALSE
"asg_disc2_full",2010,38,1,0,0.0635112370097168,0.0691649897568387,-0.34128892358682,-0.33761598627143,0.021453696223487,0.478932312785052,0.47116,TRUE,TRUE
"asg_disc2_full",2010,38,1,1,0.316310357848203,0.359274104507196,0.855421811441198,0.854888564045539,0.525337614237299,14.3841925505474,0.04486,FALSE,TRUE
"asg_disc2_full",2010,38,1,2,0.20311832766407,0.228879343355089,0.194020014885212,0.197668073968855,0.358852286851573,8.87261264491974,0.11448,FALSE,TRUE
"asg_disc2_full",2010,38,1,3,0.170005127901231,0.191513308260071,0.044510178269871,0.0461737513223537,0.304700242132947,7.30908809684082,0.1506,FALSE,TRUE
"asg_disc2_full",2011,14,1,0,0.125813113550505,0.137730288058555,1.88757379327316,0.0594581750339328,0.171519298528766,1.23999908819762,0.99542,FALSE,FALSE
"asg_disc2_full",2011,14,1,1,0.260006774053186,0.267361831765795,310.114323559573,8.72668690928444,0.288134207227099,1.97910559938788,1,FALSE,FALSE
"asg_disc2_full",2011,14,1,2,0.287351120604285,0.295467580792633,234.530443720451,9.0952334796698,0.318638763104285,2.25486257847409,1,FALSE,FALSE
"asg_disc2_full",2011,14,1,3,0.172790910557097,0.183351304958472,4.11178278403107,1.83950000627427,0.213655429013619,1.52218729724837,0.99962,FALSE,FALSE
"asg_disc2_full",2011,20,1,0,0.124891515092788,0.141853507715466,0.306568731390859,-0.196360462999591,0.19911785919127,1.90469930188968,0.02912,FALSE,TRUE
"asg_disc2_full",2011,20,1,1,0.181086851479264,0.202765100664359,1.29605400152111,0.840713687768988,0.269019734348829,2.83954338740694,0.00932,FALSE,FALSE
"asg_disc2_full",2011,20,1,2,0.02320503788443,0.0254817145456966,-1.35704115797752,-1.98596176709372,0.0291728171683778,0.243728335443052,0.62054,TRUE,TRUE
"asg_disc2_full",2011,20,1,3,0.035118863273688,0.039241383818813,-1.27041003027139,-1.85386337569636,0.0635023130722567,0.528035328784622,0.24756,FALSE,TRUE
"asg_disc2_full",2011,26,1,0,0.01526537770776,0.016958278300906,-1.92785977431159,-3.16193086957378,0.0268741395864978,0.229798223014207,0.715,TRUE,TRUE
"asg_disc2_full",2011,26,1,1,0.0114453763227758,0.0125784164101955,-2.08226429234473,-3.19787854895362,0.0116422604746145,0.101497700154457,0.40458,TRUE,TRUE
"asg_disc2_full",2011,26,1,2,0.0347200072217086,0.039461600939283,-1.24894496624096,-2.6824215527401,0.0626775665066197,0.54550722892184,0.89872,FALSE,TRUE
"asg_disc2_full",2011,26,1,3,0.0490153870759585,0.0557120535419724,-0.859675051099852,-2.20180616759065,0.0829965987204142,0.792373863249988,0.05844,FALSE,TRUE
"asg_disc2_full",2011,32,1,0,0.0938040086792547,0.106474680226117,-0.130618602121697,-0.757886769489809,0.163654490860168,1.44380950438459,0.92332,FALSE,TRUE
