"model","season","last_week","rep","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover95"
"arima_full",2010,14,1,0,0.0263789656985813,0.0299988966460502,-1.18277878731715,-3.84118932267358,0.0425654544984617,0.963141701302067,0.9664,FALSE,TRUE
"arima_full",2010,14,1,1,0.0456139655050902,0.0504131131115901,0.345728130863919,-2.73796426415289,0.0646331656165215,1.49805041074388,0.99416,FALSE,FALSE
"arima_full",2010,14,1,2,0.0838293534337702,0.0894867029445851,3.45165276629156,-1.02290676253679,0.107005295669651,2.57534703427403,0.9997,FALSE,FALSE
"arima_full",2010,14,1,3,0.174819296324655,0.181157765215457,110.383596208534,4.74925285740097,0.200603830200818,5.13891303119103,1,FALSE,FALSE
"arima_full",2010,20,1,0,0.167683013969192,0.174566282221766,39.35521524237,4.99838950745725,0.195879177288821,6.17650037516938,1,FALSE,FALSE
"arima_full",2010,20,1,1,0.429795286644962,0.437773278054575,Inf,36.1113100436678,0.461945513652987,17.3397153674852,1,FALSE,FALSE
"arima_full",2010,20,1,2,0.422288747322791,0.431786999650688,Inf,36.2196814692625,0.460754781195781,17.621160077126,1,FALSE,FALSE
"arima_full",2010,20,1,3,0.123102566995178,0.133731834151399,2.20491581230587,0.344999612139984,0.166244648234895,5.58530997987707,0.99838,FALSE,FALSE
"arima_full",2010,26,1,0,0.0764978754259257,0.0866830137018099,-0.467912296519731,-1.14556578172779,0.134129368694498,7.37603635862344,0.91446,FALSE,TRUE
"arima_full",2010,26,1,1,0.168823328422823,0.191424100013523,0.381375195273907,0.310100050334795,0.289990033170884,17.3057514609519,0.9289,FALSE,TRUE
"arima_full",2010,26,1,2,0.117067459910378,0.131718765682177,-0.0621720393336904,-0.0660575257038545,0.221468845229659,12.730933060691,0.80216,FALSE,TRUE
"arima_full",2010,26,1,3,0.146491303886838,0.164644367417793,0.14352650136193,0.144897565343084,0.275920459970402,16.3485233683508,0.81036,FALSE,TRUE
"arima_full",2010,32,1,0,0.0467372856134072,0.0523769451979719,-0.945950802125733,-1.44492077218918,0.0877414679782755,3.38424065004163,0.21088,FALSE,TRUE
"arima_full",2010,32,1,1,0.123427553445261,0.139396856994485,-0.0586163003978936,-0.0880233368174326,0.227795773090227,8.1902142716818,0.13908,FALSE,TRUE
"arima_full",2010,32,1,2,0.213465859180357,0.241994558330058,0.537639698368109,0.53370587697113,0.37669363013126,12.6245233411184,0.08752,FALSE,TRUE
"arima_full",2010,32,1,3,0.250241050993078,0.283752067792809,0.712270075479464,0.70544523703001,0.44363819955344,14.4721783708101,0.09078,FALSE,TRUE
"arima_full",2010,38,1,0,0.0227862655697151,0.02489256134301,-1.31403116073417,-1.82639174047103,0.0100653101824029,0.221181304267965,0.5376,TRUE,TRUE
"arima_full",2010,38,1,1,0.0474389179152248,0.0522863421033533,-0.641487894396063,-0.675118103178499,0.0514071101219491,1.09805151999285,0.3994,TRUE,TRUE
"arima_full",2010,38,1,2,0.0614445630217014,0.0675816859221915,-0.37210882240403,-0.370968846278358,0.0630141428293634,1.336834010788,0.40434,TRUE,TRUE
"arima_full",2010,38,1,3,0.0717658906402182,0.0784770705383366,-0.224567851316095,-0.221478689446746,0.0649051934941021,1.37593051649965,0.41786,TRUE,TRUE
"arima_full",2011,14,1,0,0.0107221527558387,0.0121927928569687,-1.92573279344566,-5.28933420708312,0.0169426023620987,0.134426671883851,0.02556,FALSE,TRUE
"arima_full",2011,14,1,1,0.0172136637260979,0.0194451373340541,-1.31258016737019,-4.90735509412524,0.026412782827006,0.211593664277808,0.01804,FALSE,FALSE
"arima_full",2011,14,1,2,0.00355415576846805,0.00391354289492077,-3.23521294412645,-4.82458993329734,0.00372657811818966,0.0307382089116981,0.59778,TRUE,TRUE
"arima_full",2011,14,1,3,0.0407062686917088,0.0440216897921926,1.49782367547033,-3.74935764954259,0.0539074528286316,0.438258525074686,0.00094,FALSE,FALSE
"arima_full",2011,20,1,0,0.0342902127312149,0.0368832148135284,1.63565297826064,-4.27529881647091,0.0449415987631152,0.379915681677158,0.99922,FALSE,FALSE
"arima_full",2011,20,1,1,0.0875898313926477,0.0903676977683723,187.891875000001,-0.777591124933142,0.0988882665035957,0.866137909306854,1,FALSE,FALSE
"arima_full",2011,20,1,2,0.0037172256039143,0.00408275722387683,-3.20978735897586,-5.18140343540588,0.00432171180837715,0.036714839779517,0.39042,TRUE,TRUE
"arima_full",2011,20,1,3,0.0499940385308072,0.0533262425477365,3.18642845908508,-2.46292345117261,0.0635189181604519,0.528177835264104,6e-05,FALSE,FALSE
"arima_full",2011,26,1,0,0.0168820782486121,0.019074606981353,-2.04600488646314,-3.73690772820631,0.0314604340535376,0.268402000019311,0.8516,FALSE,TRUE
"arima_full",2011,26,1,1,0.0130569598424513,0.0145369194280188,-2.08600108391543,-3.35954502782118,0.0224616376584903,0.192513600578771,0.69894,TRUE,TRUE
"arima_full",2011,26,1,2,0.0252290983099652,0.0283279354106627,-1.6140138793758,-2.82211936963492,0.0474799935027499,0.416359859055508,0.81676,FALSE,TRUE
"arima_full",2011,26,1,3,0.0306483073256884,0.0344516440908878,-1.43880039713563,-2.48786442702587,0.0574996302832806,0.511636728678042,0.82842,FALSE,TRUE
"arima_full",2011,32,1,0,0.0177850052614107,0.0200704542164143,-1.99244768543118,-3.7798683776475,0.0325295044071332,0.306102904320609,0.87446,FALSE,TRUE
"arima_full",2011,32,1,1,0.0376402154827476,0.0428514298676264,-1.02119858747418,-2.82291449274227,0.0636201755066108,0.576968109702069,0.05532,FALSE,TRUE
