"model","season","last_week","rep","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover95"
"base_full",2010,14,1,0,0.0397749779549377,0.0450114658836303,-0.484369326062997,-3.01993807494101,0.0617078451991069,1.38309717384177,0.97968,FALSE,FALSE
"base_full",2010,14,1,1,0.0644051760544745,0.0723977090163975,0.184994941966736,-1.72028334017434,0.0966437961627267,2.20489224817816,0.9875,FALSE,FALSE
"base_full",2010,14,1,2,0.115119877261087,0.125063040503284,2.08065259255207,-0.0501864240029843,0.154944640753237,3.64270769589377,0.998,FALSE,FALSE
"base_full",2010,14,1,3,0.216511496002867,0.227805406675121,8.09614158132769,3.87406909659365,0.262336279468368,6.52382113582571,1,FALSE,FALSE
"base_full",2010,20,1,0,0.162037475704865,0.170732660164413,6.48156847972868,3.11164369420523,0.19721213514269,6.21452391083569,1,FALSE,FALSE
"base_full",2010,20,1,1,0.446731048078832,0.45890189278678,381.760246691036,Inf,0.496281925620992,18.3365119988017,1,FALSE,FALSE
"base_full",2010,20,1,2,0.454509647113584,0.469660368517298,81.1684073716956,14.2661055991394,0.515944049308316,19.2377644046015,1,FALSE,FALSE
"base_full",2010,20,1,3,0.175322736518393,0.193073484504298,1.82859119100456,0.998891749704523,0.246024655189575,7.95332947787301,0.9957,FALSE,FALSE
"base_full",2010,26,1,0,0.112614136574576,0.128262448937245,0.167669523980495,-0.448805711969476,0.185986927017473,9.97289220879697,0.95648,FALSE,TRUE
"base_full",2010,26,1,1,0.229605597023447,0.257997510435105,1.55425115284063,1.23351700588988,0.343532180857614,19.9876189580876,0.98708,FALSE,FALSE
"base_full",2010,26,1,2,0.157036480451643,0.17793449878278,0.288592095894916,0.213446645644844,0.271337996850004,15.2290748183868,0.92556,FALSE,TRUE
"base_full",2010,26,1,3,0.193166786880403,0.219382746901068,0.547201481484904,0.502061324513373,0.330593856258887,19.0860631724801,0.9356,FALSE,TRUE
"base_full",2010,32,1,0,0.086897298745775,0.0987040928821238,-0.375804353829709,-0.797661716685954,0.15607912798844,6.23364314284442,0.1014,FALSE,TRUE
"base_full",2010,32,1,1,0.180818892488278,0.206044038491773,0.619275777526225,0.48800557456111,0.298003860533627,11.1143536029965,0.0433,FALSE,TRUE
"base_full",2010,32,1,2,0.289187727280085,0.327057487685603,1.43634711234157,1.40982014095411,0.445452553686914,15.4874183541722,0.01896,FALSE,FALSE
"base_full",2010,32,1,3,0.330740510347678,0.373903771098444,1.64103555971136,1.60315565879982,0.509703719569514,17.2307477073975,0.01942,FALSE,FALSE
"base_full",2010,38,1,0,0.0268214944486922,0.0293972035218875,-1.17282404857791,-1.53825918248357,0.0166548420444372,0.370908822169646,0.44636,TRUE,TRUE
"base_full",2010,38,1,1,0.0478049564492335,0.0527542576423731,-0.761275628216043,-0.861539677128446,0.0751573535197791,1.62473559958169,0.3308,TRUE,TRUE
"base_full",2010,38,1,2,0.0572577341244995,0.0633024966623086,-0.53668318484541,-0.558348989174882,0.0865925126159386,1.85910362778752,0.34258,TRUE,TRUE
"base_full",2010,38,1,3,0.0635816123461104,0.0702105013169347,-0.425512648078319,-0.423776008705827,0.0917251736413069,1.97108562027593,0.35562,TRUE,TRUE
