"pred_ili[14,13]","pred_ili[15,13]","pred_ili[16,13]","pred_ili[17,13]","pred_ili[18,13]","pred_ili[19,13]"
0.00979289,0.0141431,0.0125141,0.0119294,0.0112295,0.0115288
0.00989725,0.0139878,0.0165315,0.0129893,0.0161627,0.0173627
0.0110853,0.013118,0.0160199,0.0127826,0.0139769,0.0150271
0.0102949,0.0135286,0.0189229,0.0154717,0.0161168,0.018118
0.00873893,0.0100864,0.00941999,0.00429037,0.00254226,0.003596
0.0107472,0.0128787,0.0120376,0.0113774,0.00996111,0.011918
0.0100872,0.0143825,0.0149618,0.0103383,0.011179,0.0122218
0.0108908,0.012634,0.0143818,0.010866,0.0135571,0.0119351
0.0104068,0.0112512,0.0124252,0.0111631,0.0122792,0.0154339
0.0101924,0.0114748,0.0114128,0.0083102,0.00564996,0.00673812
0.0122209,0.0143137,0.0173328,0.0108495,0.0155318,0.0139242
0.00967497,0.0144767,0.0174138,0.0145022,0.0196811,0.0280927
0.0100773,0.016438,0.0221969,0.0236404,0.0295777,0.0381366
0.0130913,0.0100887,0.0128611,0.00851567,0.0114698,0.0116107
0.0114571,0.0118851,0.0181235,0.0107814,0.00867376,0.0102387
0.0105055,0.0135357,0.0156502,0.012893,0.0102387,0.0116021
0.00836978,0.0115797,0.0144506,0.0127795,0.0117811,0.0108233
0.00551434,0.0111743,0.00899805,0.00777041,0.0112521,0.00655143
0.00911329,0.0109391,0.012672,0.0122537,0.0100031,0.00858421
0.0130518,0.0150402,0.0153142,0.0115984,0.0133928,0.012568
0.0140465,0.0134188,0.011499,0.00828864,0.00889788,0.0152301
0.0104386,0.0117694,0.0128912,0.0123167,0.012423,0.0110705
0.0102319,0.0135388,0.0181592,0.00965254,0.00723237,0.00532433
0.0137649,0.0148703,0.0137321,0.0114166,0.0131627,0.0179304
0.00995227,0.0142911,0.0171761,0.0133441,0.0157438,0.0157383
0.00862786,0.0114078,0.0144697,0.0126252,0.00999517,0.012665
0.0116221,0.0118585,0.0134498,0.0130842,0.0117809,0.0123044
0.0108352,0.0135118,0.0142908,0.0125945,0.0135756,0.0148566
0.00958182,0.0109555,0.015609,0.0125121,0.0127574,0.0146534
0.00939093,0.0124432,0.0142821,0.0137467,0.0121099,0.0114645
0.0099597,0.0116665,0.0134624,0.0120955,0.0112277,0.00932925
0.0113892,0.0114492,0.011191,0.0104702,0.00751222,0.00358114
0.0103066,0.0144424,0.0145186,0.0102797,0.0130751,0.01517
0.00935879,0.0101858,0.0168138,0.0119736,0.0126203,0.0110076
0.0104297,0.0108766,0.00982451,0.00948693,0.00813512,0.00918755
0.0106052,0.00925309,0.0111396,0.0108943,0.01094,0.0135929
0.0114655,0.0120149,0.0152724,0.0105282,0.0117382,0.0119582
0.0101442,0.0141362,0.0128546,0.00949273,0.0120274,0.0109196
0.0104998,0.0125471,0.0174616,0.0109546,0.0127563,0.0121343
0.0107841,0.0161307,0.016532,0.0123666,0.011377,0.0139567
0.0102245,0.0129457,0.0134071,0.0107339,0.00922285,0.00920344
0.0109547,0.0127331,0.0141407,0.014264,0.0142011,0.0136124
0.00927199,0.0120208,0.0144883,0.0113485,0.0115302,0.0135803
0.0105413,0.0180092,0.0151921,0.0102803,0.0144988,0.0140392
0.0112852,0.0148379,0.0158782,0.0143535,0.0108582,0.0117265
0.00928676,0.0113351,0.0140431,0.0110598,0.0122733,0.0135767
0.0105117,0.0122576,0.0105092,0.00450592,0.00327154,0.0022172
0.0103446,0.0134561,0.0129968,0.0129699,0.0142962,0.0141847
0.0115686,0.0111178,0.0144196,0.0132782,0.0112642,0.0115645
0.00989755,0.0129678,0.0152831,0.0121111,0.0125323,0.010432
0.00978836,0.011656,0.0145257,0.0107487,0.0124338,0.01476
0.00927871,0.014017,0.0124132,0.0103824,0.0134487,0.0117054
0.00977667,0.0151903,0.0142968,0.00997114,0.0126905,0.0129599
0.0109261,0.0128131,0.0158434,0.0134795,0.0128309,0.0144905
0.0110399,0.0145132,0.0190738,0.0088336,0.0152906,0.013145
0.00997666,0.0117135,0.0115464,0.0122845,0.010184,0.00944342
0.00952507,0.0142048,0.0117855,0.0101549,0.011389,0.0108034
0.00983713,0.0120218,0.0143585,0.0114224,0.0118524,0.0108779
0.0117036,0.0120596,0.013669,0.0115578,0.0109111,0.0151905
0.0106969,0.0119164,0.0133088,0.0139941,0.0137034,0.0135258
0.00728747,0.015653,0.0152398,0.0131299,0.0195014,0.0291538
0.00997589,0.0137022,0.0297565,0.0177106,0.0161801,0.0169583
0.0105288,0.0232298,0.0253447,0.0153884,0.0183384,0.0155626
0.00858083,0.0141981,0.0116936,0.0121629,0.0118632,0.0135581
0.0119097,0.015328,0.0178459,0.0121445,0.0178861,0.0197429
0.0123511,0.0156513,0.0254322,0.0335872,0.0503393,0.0870656
0.00985515,0.0127936,0.0162661,0.0118507,0.0163806,0.0189781
0.0104352,0.0120589,0.011292,0.00904336,0.0120324,0.0127579
0.00982945,0.0113447,0.0141565,0.00987546,0.0114278,0.0122362
0.0101642,0.0124307,0.0141322,0.0123201,0.0130582,0.0135171
0.00960255,0.0133847,0.0138046,0.0101828,0.00816572,0.00878012
0.00937424,0.0128917,0.0130356,0.00910416,0.0117097,0.0105198
0.0120245,0.00936029,0.0148435,0.00843558,0.00827519,0.0109355
0.0088541,0.0115001,0.0130887,0.0108627,0.0102798,0.01207
0.00841998,0.011055,0.0108222,0.012189,0.00851929,0.0093613
0.0084305,0.00926511,0.0100285,0.00806364,0.00657066,0.00608805
0.00897261,0.0133555,0.0155283,0.00947681,0.0111921,0.0131187
0.00817515,0.0117189,0.0175281,0.0120285,0.0100586,0.0176287
0.0119625,0.0122953,0.0124778,0.0118687,0.0145753,0.0160584
0.00880671,0.0168728,0.0177469,0.0149455,0.0147011,0.0161032
0.0110428,0.0136258,0.017046,0.0160496,0.0173485,0.0186163
0.0100262,0.013106,0.0128596,0.010479,0.0117423,0.0113648
0.00855284,0.0107024,0.012544,0.0105817,0.0118918,0.0145401
0.0102227,0.0138524,0.018128,0.0122338,0.0145658,0.019576
0.0100157,0.0120934,0.0145961,0.00887942,0.00963584,0.0124996
0.0102128,0.0134418,0.0149336,0.010115,0.0122488,0.0143577
0.0077065,0.00935828,0.0123013,0.0105667,0.0097201,0.0103346
0.0110878,0.0145925,0.0493933,0.652978,0.99627,0.998531
0.00995963,0.0110275,0.0129382,0.0112336,0.0107599,0.0146866
0.00977167,0.0136187,0.0131347,0.010446,0.0106655,0.00999238
0.00978722,0.0100724,0.0127007,0.0102598,0.0120672,0.0116101
0.00971614,0.0129438,0.0116078,0.0109202,0.00925356,0.0129374
0.00807489,0.0112557,0.0122741,0.0117868,0.00929751,0.00926201
0.00885167,0.0128048,0.0137935,0.011635,0.0113099,0.0111288
0.0104809,0.0127391,0.0185172,0.0122758,0.0127684,0.013184
0.0100509,0.0134755,0.0140214,0.0124869,0.0126836,0.0123678
0.0105484,0.0148975,0.0143668,0.01155,0.0101717,0.0111556
0.00897546,0.0112803,0.0136087,0.0105134,0.0120937,0.0123228
0.00942506,0.0139457,0.0118532,0.0102115,0.00752219,0.0104514
0.00920651,0.0137263,0.0109192,0.00855459,0.00846247,0.0112002
0.0101505,0.0106888,0.0124019,0.00794797,0.00990121,0.00813849
0.0111036,0.0141453,0.0121482,0.0106181,0.0134993,0.0113218
0.0115347,0.0103075,0.0108121,0.0105312,0.00983474,0.010441
0.0102326,0.0115092,0.0113276,0.00680687,0.00873024,0.0098608
0.0104675,0.0121096,0.01182,0.0117293,0.0143199,0.0160105
0.011878,0.011098,0.0132827,0.00987477,0.0105598,0.010711
